iter	Passed	Remaining
0	175	175051
1	278	138952
2	420	139619
3	504	125513
4	571	113799
5	651	107976
6	862	122288
7	1143	141748
8	1365	150324
9	1651	163493
10	1740	156488
11	1798	148050
12	1967	149409
13	2034	143285
14	2092	137409
15	2168	133376
16	2438	141000
17	2517	137326
18	2589	133724
19	2663	130526
20	2777	129475
21	2835	126064
22	2942	124975
23	3020	122848
24	3127	121969
25	3295	123450
26	3418	123182
27	3494	121320
28	3664	122688
29	3783	122338
30	3860	120681
31	4003	121104
32	4123	120823
33	4337	123232
34	4571	126047
35	4708	126086
36	4768	124113
37	4891	123838
38	5054	124560
39	5393	129433
40	5455	127597
41	5521	125944
42	5584	124279
43	5848	127067
44	5916	125565
45	6026	124979
46	6140	124499
47	6236	123685
48	6351	123271
49	6693	127182
50	6750	125608
51	6843	124769
52	6911	123492
53	6991	122472
54	7085	121740
55	7181	121066
56	7366	121865
57	7461	121180
58	7532	120138
59	7594	118978
60	7655	117845
61	7749	117237
62	7850	116753
63	8044	117647
64	8106	116612
65	8193	115951
66	8274	115230
67	8405	115205
68	8473	114326
69	8740	116128
70	8919	116713
71	9001	116020
72	9058	115028
73	9142	114404
74	9248	114059
75	9315	113261
76	9587	114922
77	9690	114548
78	9834	114655
79	9912	113994
80	9989	113333
81	10090	112965
82	10224	112963
83	10306	112388
84	10393	111884
85	10492	111508
86	10579	111025
87	10638	110258
88	10762	110166
89	10960	110822
90	11229	112169
91	11457	113083
92	11637	113493
93	11741	113172
94	11802	112431
95	11862	111702
96	11998	111700
97	12142	111756
98	12342	112328
99	12660	113948
100	12824	114149
101	12897	113550
102	13073	113857
103	13246	114122
104	13466	114783
105	13641	115053
106	13840	115507
107	14079	116287
108	14186	115963
109	14247	115278
110	14352	114947
111	14525	115168
112	14706	115438
113	14770	114794
114	14823	114076
115	14880	113397
116	14956	112880
117	15184	113499
118	15368	113776
119	15488	113579
120	15664	113797
121	15851	114081
122	15930	113583
123	15999	113025
124	16068	112477
125	16236	112624
126	16353	112411
127	16508	112464
128	16578	111934
129	16648	111416
130	16712	110860
131	16784	110369
132	16975	110660
133	17091	110456
134	17160	109953
135	17218	109385
136	17304	109005
137	17373	108522
138	17441	108038
139	17499	107496
140	17623	107366
141	17704	106973
142	17767	106482
143	17825	105963
144	17917	105648
145	17972	105127
146	18042	104694
147	18174	104625
148	18233	104139
149	18339	103923
150	18472	103860
151	18571	103611
152	18645	103218
153	18752	103018
154	18877	102912
155	18944	102495
156	19008	102063
157	19065	101601
158	19158	101336
159	19222	100919
160	19277	100457
161	19340	100045
162	19439	99819
163	19496	99386
164	19585	99115
165	19652	98737
166	19730	98415
167	19802	98068
168	19906	97884
169	19958	97443
170	20008	96998
171	20060	96570
172	20120	96182
173	20192	95854
174	20248	95456
175	20307	95074
176	20391	94815
177	20457	94470
178	20513	94086
179	20565	93689
180	20619	93299
181	20671	92907
182	20726	92534
183	20789	92196
184	20878	91979
185	20933	91612
186	20989	91252
187	21048	90910
188	21129	90666
189	21184	90313
190	21243	89979
191	21307	89668
192	21382	89406
193	21465	89180
194	21608	89204
195	21677	88920
196	21773	88753
197	21855	88527
198	21917	88222
199	21977	87908
200	22052	87662
201	22146	87488
202	22209	87195
203	22253	86831
204	22322	86568
205	22410	86379
206	22482	86129
207	22538	85818
208	22594	85511
209	22727	85498
210	22793	85233
211	22861	84975
212	22919	84683
213	23003	84489
214	23058	84189
215	23118	83910
216	23229	83817
217	23320	83652
218	23363	83319
219	23435	83091
220	23518	82899
221	23575	82622
222	23629	82332
223	23720	82175
224	23777	81899
225	23840	81647
226	23889	81349
227	23964	81143
228	24023	80881
229	24090	80652
230	24142	80371
231	24225	80194
232	24267	79885
233	24325	79628
234	24383	79377
235	24427	79079
236	24517	78930
237	24573	78675
238	24628	78420
239	24689	78184
240	24747	77937
241	24802	77686
242	24895	77555
243	24952	77310
244	25011	77074
245	25068	76835
246	25134	76623
247	25194	76395
248	25240	76127
249	25301	75904
250	25380	75736
251	25438	75507
252	25497	75283
253	25569	75098
254	25659	74966
255	25714	74734
256	25781	74536
257	25838	74311
258	25923	74166
259	25979	73940
260	26038	73726
261	26095	73505
262	26174	73348
263	26253	73191
264	26312	72979
265	26376	72783
266	26454	72626
267	26532	72469
268	26589	72256
269	26732	72276
270	26791	72069
271	26894	71981
272	26954	71780
273	27021	71596
274	27088	71415
275	27148	71216
276	27229	71072
277	27319	70952
278	27424	70870
279	27540	70817
280	27658	70770
281	27716	70569
282	27802	70439
283	27889	70311
284	27944	70105
285	28000	69904
286	28093	69792
287	28149	69591
288	28208	69399
289	28264	69199
290	28348	69067
291	28417	68901
292	28472	68704
293	28521	68490
294	28607	68368
295	28664	68175
296	28722	67985
297	28790	67822
298	28877	67703
299	28933	67511
300	28986	67314
301	29046	67132
302	29127	67003
303	29185	66819
304	29243	66637
305	29306	66465
306	29418	66406
307	29474	66222
308	29533	66043
309	29584	65849
310	29658	65706
311	29722	65541
312	29792	65390
313	29853	65222
314	29946	65122
315	30004	64946
316	30060	64766
317	30114	64584
318	30192	64453
319	30246	64272
320	30303	64100
321	30362	63930
322	30478	63882
323	30552	63744
324	30615	63585
325	30672	63414
326	30757	63302
327	30809	63121
328	30866	62952
329	30932	62801
330	31011	62678
331	31068	62511
332	31128	62351
333	31193	62200
334	31289	62111
335	31345	61944
336	31399	61774
337	31460	61617
338	31535	61490
339	31599	61339
340	31654	61174
341	31712	61013
342	31808	60928
343	31869	60775
344	31932	60626
345	31985	60457
346	32083	60375
347	32168	60269
348	32249	60156
349	32341	60063
350	32400	59908
351	32460	59756
352	32548	59656
353	32702	59677
354	32874	59730
355	33053	59794
356	33217	59828
357	33403	59902
358	33539	59884
359	33715	59939
360	33891	59990
361	34066	60040
362	34219	60049
363	34416	60134
364	34552	60111
365	34617	59965
366	34678	59813
367	34721	59629
368	34827	59556
369	34884	59398
370	34939	59236
371	34995	59078
372	35065	58944
373	35132	58804
374	35189	58649
375	35240	58484
376	35474	58622
377	35635	58638
378	35688	58476
379	35786	58388
380	35875	58285
381	36035	58298
382	36168	58266
383	36253	58155
384	36391	58131
385	36447	57975
386	36544	57885
387	36604	57737
388	36663	57586
389	36764	57503
390	36840	57380
391	36920	57264
392	37074	57263
393	37176	57179
394	37225	57015
395	37303	56896
396	37372	56765
397	37429	56614
398	37482	56457
399	37571	56357
400	37630	56210
401	37685	56059
402	37743	55913
403	37823	55798
404	37888	55662
405	37943	55513
406	37998	55363
407	38076	55248
408	38135	55105
409	38190	54956
410	38251	54817
411	38341	54720
412	38407	54588
413	38465	54445
414	38515	54292
415	38598	54185
416	38655	54043
417	38711	53900
418	38771	53761
419	38849	53649
420	38908	53510
421	38965	53369
422	39020	53226
423	39086	53097
424	39151	52969
425	39207	52829
426	39254	52676
427	39336	52570
428	39395	52435
429	39463	52311
430	39524	52180
431	39614	52086
432	39661	51935
433	39748	51837
434	39808	51705
435	39904	51619
436	39943	51460
437	39999	51323
438	40058	51190
439	40125	51068
440	40201	50957
441	40257	50823
442	40314	50688
443	40401	50593
444	40461	50463
445	40516	50327
446	40559	50177
447	40624	50055
448	40693	49937
449	40753	49809
450	40808	49676
451	40899	49586
452	40953	49451
453	41008	49318
454	41064	49187
455	41145	49085
456	41206	48961
457	41263	48831
458	41320	48702
459	41403	48603
460	41460	48475
461	41516	48345
462	41567	48211
463	41641	48103
464	41705	47983
465	41761	47855
466	41814	47723
467	41898	47627
468	41954	47501
469	42009	47372
470	42064	47244
471	42136	47136
472	42183	46999
473	42239	46873
474	42303	46756
475	42381	46655
476	42438	46531
477	42498	46410
478	42555	46286
479	42633	46186
480	42714	46088
481	42764	45958
482	42821	45835
